code,title,observed,n_studies,estimate,posterior_std
25-9031.00,Instructional Coordinators,,,0.2526,1.006
25-9042.00,Teaching Assistants; Preschool; Elementary; Middle; and Secondary School; Except Special Education,,,0.3678,1.0024
25-9043.00,Teaching Assistants; Special Education,,,0.2528,1.0037
25-9044.00,Teaching Assistants; Postsecondary,,,0.2503,1.0031
27-1011.00,Art Directors,,,0.5,1.0013
27-1012.00,Craft Artists,,,0.506,1.0014
27-1013.00,Fine Artists; Including Painters; Sculptors; and Illustrators,,,0.5269,1.0015
27-1014.00,Special Effects Artists and Animators,,,0.3902,1.0009
27-1021.00,Commercial and Industrial Designers,,,0.2888,1.0013
27-1022.00,Fashion Designers,,,0.5089,1.0014
27-1023.00,Floral Designers,,,0.3447,1.0028
27-1024.00,Graphic Designers,,,0.4987,1.0013
27-1025.00,Interior Designers,,,0.4035,1.0011
27-1026.00,Merchandise Displayers and Window Trimmers,,,0.2618,1.0112
27-1027.00,Set and Exhibit Designers,,,0.4826,1.0012
27-2011.00,Actors,,,0.2959,1.0062
27-2012.00,Producers and Directors,,,0.3608,1.0012
27-2012.03,Media Programming Directors,,,0.3136,1.0048
27-2012.04,Talent Directors,,,0.278,1.0061
27-2012.05,Media Technical Directors/Managers,,,0.2524,1.0051
27-2021.00,Athletes and Sports Competitors,,,0.2391,1.0049
27-2022.00,Coaches and Scouts,,,0.257,1.0079
27-2023.00,Umpires; Referees; and Other Sports Officials,,,0.2467,1.0022
27-2031.00,Dancers,,,0.2557,1.023
27-2032.00,Choreographers,,,0.4549,1.0019
27-2041.00,Music Directors and Composers,,,0.438,1.0015
27-2042.00,Musicians and Singers,,,0.261,1.0152
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,,,0.2947,1.0101
27-3023.00,News Analysts; Reporters; and Journalists,,,0.2555,1.0202
27-3031.00,Public Relations Specialists,,,0.2513,1.0158
27-3041.00,Editors,,,0.2888,1.0016
27-3042.00,Technical Writers,,,0.2368,1.0024
27-3043.00,Writers and Authors,,,0.2578,1.014
27-3043.05,Poets; Lyricists and Creative Writers,,,0.5205,1.0015
27-3091.00,Interpreters and Translators,0.3727128765446731,1.0,0.3715,0.0995
27-3092.00,Court Reporters and Simultaneous Captioners,,,0.1672,1.0018
27-4011.00,Audio and Video Technicians,,,0.3174,1.0032
27-4012.00,Broadcast Technicians,,,0.2454,1.0028
27-4014.00,Sound Engineering Technicians,,,0.3747,1.0007
27-4021.00,Photographers,,,0.3407,1.0038
27-4031.00,Camera Operators; Television; Video; and Film,,,0.3803,1.0013
27-4032.00,Film and Video Editors,,,0.3751,1.0013
29-1011.00,Chiropractors,,,0.2343,1.0088
29-1021.00,Dentists; General,,,0.2459,1.0046
29-1022.00,Oral and Maxillofacial Surgeons,,,0.2415,1.0078
29-1023.00,Orthodontists,,,0.2388,1.0032
29-1024.00,Prosthodontists,,,0.2452,1.006
29-1031.00,Dietitians and Nutritionists,,,0.2483,1.0042
29-1041.00,Optometrists,,,0.2391,1.0027
29-1051.00,Pharmacists,,,0.2445,1.0062
29-1071.00,Physician Assistants,,,0.2448,1.009
29-1071.01,Anesthesiologist Assistants,,,0.2353,1.0051
